traits	host
KU666057|procyonid|2012.896	procyonid
PX789676|procyonid|2019.312	procyonid
MT932511|wild_felid|1992.787	wild_felid
MT932504|wild_felid|1992.667	wild_felid
MT932505|procyonid|1992.000	procyonid
MT932510|procyonid|2013.268	procyonid
MT932509|procyonid|2013.230	procyonid
MT932507|wild_canid|2013.238	wild_canid
MT932506|procyonid|2013.164	procyonid
MT932508|procyonid|2013.195	procyonid
EU716337|domestic_dog|2004.675	domestic_dog
PX789675|wild_canid|2019.304	wild_canid
MW984532|wild_felid|2015.964	wild_felid
MW984531|wild_felid|2015.989	wild_felid
MW984530|wild_felid|2015.912	wild_felid
MW984527|wild_felid|2015.951	wild_felid
MW984533|procyonid|2016.322	procyonid
MW984534|mustelid|2016.336	mustelid
MW984536|mustelid|2016.301	mustelid
MH644852|mustelid|2017.660	mustelid
MH644855|mustelid|2016.973	mustelid
MH644853|mustelid|2016.973	mustelid
MH644854|mustelid|2017.301	mustelid
MH644851|procyonid|2017.167	procyonid
MH644849|wild_canid|2016.210	wild_canid
PX789692|procyonid|2023.030	procyonid
PX789695|procyonid|2022.819	procyonid
PX789698|procyonid|2022.805	procyonid
PX789703|procyonid|2023.392	procyonid
MH644850|mustelid|2016.361	mustelid
PX789700|procyonid|2022.926	procyonid
MT943490|wild_felid|2013.748	wild_felid
MH810099|domestic_dog|2017.970	domestic_dog
MW984535|procyonid|2015.951	procyonid
PX789678|domestic_dog|2021.041	domestic_dog
PX789674|domestic_dog|2023.622	domestic_dog
MK487379|procyonid|2016.500	procyonid
MK473365|wild_canid|2017.500	wild_canid
MK473366|wild_canid|2017.500	wild_canid
KJ123771|domestic_dog|2004.500	domestic_dog
KF430374|mustelid|2004.500	mustelid
KF430373|mustelid|2007.500	mustelid
KF430371|mustelid|2007.500	mustelid
KF430372|mustelid|2007.500	mustelid
MN824467|procyonid|2018.500	procyonid
MG797669|domestic_dog|2017.500	domestic_dog
JF283477|domestic_dog|2010.500	domestic_dog
OK667001|procyonid|2014.500	procyonid
OK666993|procyonid|2014.500	procyonid
OK666919|wild_canid|2013.500	wild_canid
OK666870|wild_canid|2016.500	wild_canid
OK666917|domestic_dog|2012.500	domestic_dog
OK667043|procyonid|2017.500	procyonid
OK666936|wild_canid|2017.500	wild_canid
OK667038|procyonid|2017.500	procyonid
OK667026|procyonid|2016.500	procyonid
OK666884|mustelid|2016.500	mustelid
OK666997|procyonid|2014.500	procyonid
OK666983|procyonid|2014.500	procyonid
OK666886|mustelid|2016.500	mustelid
OK666974|procyonid|2014.500	procyonid
OK667009|procyonid|2015.500	procyonid
OK666928|wild_canid|2016.500	wild_canid
OK666932|wild_canid|2017.500	wild_canid
OK666909|wild_canid|2017.500	wild_canid
OK666908|wild_canid|2017.500	wild_canid
OK666912|wild_canid|2017.500	wild_canid
OK667023|procyonid|2015.500	procyonid
OK666924|wild_canid|2015.500	wild_canid
OK666994|procyonid|2014.500	procyonid
OK666926|wild_canid|2015.500	wild_canid
OK666920|wild_canid|2015.500	wild_canid
OK667030|procyonid|2016.500	procyonid
OK666872|mustelid|2015.500	mustelid
OK667039|procyonid|2017.500	procyonid
OK666905|wild_canid|2017.500	wild_canid
OK666934|wild_canid|2017.500	wild_canid
OK666906|wild_canid|2017.500	wild_canid
OK666914|wild_canid|2017.500	wild_canid
OK667025|procyonid|2016.500	procyonid
OK666904|wild_canid|2016.500	wild_canid
OK666890|mustelid|2016.500	mustelid
OK666910|wild_canid|2017.500	wild_canid
OK666880|mustelid|2016.500	mustelid
OK666885|mustelid|2016.500	mustelid
OK667020|procyonid|2015.500	procyonid
OK667021|procyonid|2015.500	procyonid
OK666971|procyonid|2014.500	procyonid
OK666970|procyonid|2014.500	procyonid
OK666963|procyonid|2014.500	procyonid
OK666959|procyonid|2014.500	procyonid
OK666955|procyonid|2013.500	procyonid
OK666952|procyonid|2013.500	procyonid
OK666958|procyonid|2014.500	procyonid
OK666973|procyonid|2014.500	procyonid
OK666986|procyonid|2014.500	procyonid
OK666985|procyonid|2014.500	procyonid
OK667005|procyonid|2015.500	procyonid
OK667004|procyonid|2015.500	procyonid
OK667003|procyonid|2014.500	procyonid
OK667007|procyonid|2015.500	procyonid
OK666999|procyonid|2014.500	procyonid
OK666978|procyonid|2014.500	procyonid
OK666925|wild_canid|2015.500	wild_canid
OK666998|procyonid|2014.500	procyonid
OK666977|procyonid|2014.500	procyonid
OK666950|procyonid|2013.500	procyonid
OK666948|procyonid|2013.500	procyonid
OK666946|procyonid|2013.500	procyonid
OK666954|procyonid|2013.500	procyonid
OK666980|procyonid|2014.500	procyonid
OK666976|procyonid|2014.500	procyonid
OK666975|procyonid|2014.500	procyonid
OK666949|procyonid|2013.500	procyonid
OK666940|procyonid|2010.500	procyonid
OK666979|procyonid|2014.500	procyonid
