accession	description	length	host_raw	host_canonical	host_group	host_ambiguous	country_raw	country	collection_date_raw	collection_date	decimal_year	date_precision	strain	isolate	lat_lon	is_vaccine	vaccine_pattern	has_H	H_length	H_source	has_F	has_N	is_complete_genome	exclude_reason
PZ769327.1	Morbillivirus canis isolate Fox_11 hemagglutinin (H) gene, complete cds	1999	Vulpes vulpes	Vulpes sp.	wild_canid	False	Turkey	Turkey	2025	2025	2025.5	year		Fox_11		False		True	1824	annotation	False	False	False	
PZ766579.1	Morbillivirus canis isolate CDV/Derventa/18/25 hemagglutinin (H) gene, partial cds	1785	fox	Vulpes sp.	wild_canid	False	Bosnia and Herzegovina	Bosnia and Herzegovina	2025	2025	2025.5	year		CDV/Derventa/18/25		False		True	1785	annotation	False	False	False	
PZ766578.1	Morbillivirus canis isolate CDV/Bugojno/214/24 hemagglutinin (H) gene, partial cds	1785	fox	Vulpes sp.	wild_canid	False	Bosnia and Herzegovina	Bosnia and Herzegovina	2024	2024	2024.5	year		CDV/Bugojno/214/24		False		True	1785	annotation	False	False	False	
PZ766577.1	Morbillivirus canis isolate CDV/Bugojno/213/24 hemagglutinin (H) gene, partial cds	1785	fox	Vulpes sp.	wild_canid	False	Bosnia and Herzegovina	Bosnia and Herzegovina	2024	2024	2024.5	year		CDV/Bugojno/213/24		False		True	1785	annotation	False	False	False	
PZ766576.1	Morbillivirus canis isolate CDV/Bugojno/212/24 hemagglutinin (H) gene, partial cds	1785	fox	Vulpes sp.	wild_canid	False	Bosnia and Herzegovina	Bosnia and Herzegovina	2024	2024	2024.5	year		CDV/Bugojno/212/24		False		True	1785	annotation	False	False	False	
PZ766575.1	Morbillivirus canis isolate CDV/Travnik/191/24 hemagglutinin (H) gene, partial cds	1785	fox	Vulpes sp.	wild_canid	False	Bosnia and Herzegovina	Bosnia and Herzegovina	2024	2024	2024.5	year		CDV/Travnik/191/24		False		True	1785	annotation	False	False	False	
PZ645865.1	Morbillivirus canis isolate Eram114 hemagglutinin (H) gene, partial cds	571	Panthera pardus Anatolian	Panthera pardus	wild_felid	False	Iran: Tehran	Iran	2026	2026	2026.5	year		Eram114		False		True	571	annotation	False	False	False	
PV806622.1	Morbillivirus canis strain CDVHR14 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2022	2022	2022.5	year	CDVHR14			False		True	1824	annotation	False	False	False	
PV806621.1	Morbillivirus canis strain CDVHR13 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2022	2022	2022.5	year	CDVHR13			False		True	1824	annotation	False	False	False	
PV806620.1	Morbillivirus canis strain CDVHR8 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2021	2021	2021.5	year	CDVHR8			False		True	1824	annotation	False	False	False	
PV806619.1	Morbillivirus canis strain CDVHR7 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2021	2021	2021.5	year	CDVHR7			False		True	1824	annotation	False	False	False	
PV806618.1	Morbillivirus canis strain CDVHR4 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2022	2022	2022.5	year	CDVHR4			False		True	1824	annotation	False	False	False	
PV806617.1	Morbillivirus canis strain CDVHR3 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2021	2021	2021.5	year	CDVHR3			False		True	1824	annotation	False	False	False	
PV806616.1	Morbillivirus canis strain CDVHR1 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2022	2022	2022.5	year	CDVHR1			False		True	1824	annotation	False	False	False	
PV806615.1	Morbillivirus canis strain CDVH220418 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023-04-18	2023-04-18	2023.2931506849316	day	CDVH220418			False		True	1824	annotation	False	False	False	
PV806614.1	Morbillivirus canis strain CDVH15 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDVH15			False		True	1824	annotation	False	False	False	
PV806613.1	Morbillivirus canis strain CDVH9 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDVH9			False		True	1824	annotation	False	False	False	
PV806612.1	Morbillivirus canis strain CDVH4 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDVH4			False		True	1824	annotation	False	False	False	
PV806611.1	Morbillivirus canis strain CDVH3 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2022	2022	2022.5	year	CDVH3			False		True	1824	annotation	False	False	False	
PV806610.1	Morbillivirus canis strain CDVHFR hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDVHFR			False		True	1824	annotation	False	False	False	
PV806609.1	Morbillivirus canis strain CDV29 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDV29			False		True	1824	annotation	False	False	False	
PV806608.1	Morbillivirus canis strain CDV19 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDV19			False		True	1824	annotation	False	False	False	
PV806607.1	Morbillivirus canis strain CDV18 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDV18			False		True	1824	annotation	False	False	False	
PV806606.1	Morbillivirus canis strain CDV16 hemagglutinin (H) gene, complete cds	1824	Canis lupus familiaris	Canis lupus familiaris	domestic_dog	False	China: Hubei, Wuhan	China	2023	2023	2023.5	year	CDV16			False		True	1824	annotation	False	False	False	
